Regime,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ratio_to_zero,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0194787301947873,0.0071330600713306,0.0071330600713306,0.0182441701824417,0.0182441701824417,0.011700960117009601,0.008244170082441701,0.008244170082441701,0.008244170082441701,0.008244170082441701,0.020589850205898503,0.008244170082441701,0.008244170082441701,0.008244170082441701,0.008244170082441701,0.008244170082441701,0.007700960077009601,0.0072441700724417005,0.0072441700724417005,0.0072441700724417005,0.0195898501958985,0.0072441700724417005,0.0072441700724417005,0.0072441700724417005,0.0072441700724417005,0.0072441700724417005,0.0072441700724417005,0.007200960072009601,0.007144170071441701,0.007144170071441701,0.019489850194898503,0.007144170071441701,0.007144170071441701,0.007144170071441701,0.007144170071441701,0.007144170071441701,0.007144170071441701,0.007144170071441701,0.0071409600714096005,0.0071341700713417,0.019479850194798504,0.0071341700713417,0.0071341700713417,0.0071341700713417,0.0071341700713417,0.0071341700713417,0.0071341700713417,0.0071341700713417,0.0071341700713417,0.007133960071339601,0.0194788501947885,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0071331700713317,0.0194788401947884,0.007133070071330701,0.007133070071330701,0.007133070071330701,0.0417009704170097,0.018244180182441803,0.018244180182441803,0.018244180182441803,0.018244180182441803,0.018244180182441803,0.0305898603058986,0.018244180182441803,0.0182441701824417,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.019478740194787403,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0071330600713306,0.0194787301947873,0.0071330600713306,0.0071330600713306
ratio_to_infty,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,1.79400001794e-05,3.8100000381000006e-06,3.8100000381000006e-06,1.4920000149200001e-05,1.4920000149200001e-05,1.4920000149200001e-05,1.4900000149000002e-05,6.200000062e-06,4.8200000482e-06,4.8200000482e-06,1.8960000189600002e-05,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,1.8960000189600002e-05,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,4.8200000482e-06,1.8960000189600002e-05,4.8100000481000006e-06,4.8100000481000006e-06,4.8100000481000006e-06,4.190000041900001e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,1.7950000179500003e-05,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,1.7950000179500003e-05,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,1.7950000179500003e-05,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,5.6300000563000004e-05,1.4920000149200001e-05,1.4920000149200001e-05,1.4920000149200001e-05,1.4920000149200001e-05,1.4920000149200001e-05,0.999291899992919,1.4920000149200001e-05,1.4920000149200001e-05,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,1.79400001794e-05,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,3.8100000381000006e-06,1.79400001794e-05,3.8100000381000006e-06,3.8100000381000006e-06
ratio_to_const_C=2,0.0023660600236606,0.0023660600236606,0.0023660600236606,0.0023660600236606,0.0023660600236606,0.0023660600236606,0.0023654100236541,0.007285690072856901,0.0023650600236506,0.0023650600236506,0.0034761700347617002,0.0034761700347617002,0.0034761700347617002,0.0034761700347617002,0.0034761700347617002,0.0034761700347617002,0.0034761700347617002,0.008396810083968101,0.0034761700347617002,0.0034761700347617002,0.0034725200347252004,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.008386810083868101,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661700346617003,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.008386800083868001,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0034661600346616002,0.0083867900838679,0.0034661600346616002,0.0026725100267251003,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0073867900738679,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661600246616002,0.0024661000246610004,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.007386690073866901,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0135771701357717,0.0135771701357717,0.0135771701357717,0.012783520127835202,0.0035771700357717004,0.0035771700357717004,0.6259581462595815,0.0035771700357717004,0.0035771700357717004,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.007386690073866901,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0024660600246606003,0.0023724100237241,0.0023660600236606,0.0023660600236606,0.0023660600236606,0.0023660600236606,0.007286690072866901,0.0023660600236606,0.0023660600236606
